DPTO_MPIO,precio_unitario_promedio,ingresos_estimados_promedio,score
25377,13769.607843137255,4390.665613835294,0.3188664240734781
68001,8407.547546788062,2674.30600076477,0.3180839580010982
47001,13893.567639257295,4359.708085275863,0.31379327459112716
11001,14942.155811705914,4511.128143205893,0.3019061104738184
8001,10575.322249642812,3125.1609276649956,0.2955144868299923
13001,14880.610804597702,4374.531338151218,0.29397525381146367
68276,9050.105355064028,2660.0513847426078,0.2939249080955907
68547,9137.635135135135,2551.4377413128377,0.2792229831438881
25817,12000.0,3005.0,0.2504166666666667
25175,15426.008097165992,3843.106457665911,0.24913162455632004
66001,11232.142857142857,2776.104319517033,0.24715714132425098
76001,12531.888513513513,3069.38457409726,0.24492593999599105
25126,14017.630966239814,3377.5070970934808,0.24094706910375216
8758,9121.951219512195,2149.523035219512,0.2356428995828877
25758,11300.0,2580.3222222133336,0.2283470993109145
73001,9931.259056444818,2242.686078942881,0.225820922221086
20001,12760.660980810235,2800.0608544948827,0.21942913918845397
8573,17217.078189300413,3732.4516443545267,0.21678775012325066
17001,11636.095805142084,2497.827402161137,0.21466198319348032
41001,9448.020599250936,2027.1934791544006,0.21456277088505943
5266,16576.7604874151,3454.258034221694,0.208379558650445
0,16337.960721011568,3389.788754381598,0.20747930615490662
66170,9221.597633136094,1871.987816212426,0.2030003791843819
5360,16679.447047797563,3334.7542646423617,0.1999319434922574
25307,11848.484848484848,2357.24972805303,0.19894946553900256
5001,16519.518662307586,3262.1734417344574,0.197473879743102
25899,12836.913099870299,2531.207375143191,0.19718193583228086
5607,32186.872928176796,6209.507474409116,0.19292049551583604
15001,12582.1004784689,2416.636442765072,0.19206939627453598
50001,12841.088729016787,2463.0618640804555,0.19181098394832496
63001,13798.776496674058,2630.8211382916184,0.19065611642638966
50606,21000.0,3963.1666666666665,0.1887222222222222
68307,11348.137535816619,2070.9421596716334,0.18249181005564954
76520,11722.173913043478,2099.3478260869565,0.17909202180928008
5631,15891.157738095239,2824.5462237620536,0.17774326265674661
70001,15464.426877470356,2741.2735806948613,0.17726318617656228
25290,13714.66093600764,2428.7494774729703,0.17709147085775373
5615,23593.29210275928,4154.877826218459,0.17610419979213238
15238,13122.190201729107,2266.574597670317,0.1727283755856283
25473,14359.48717948718,2470.253793977436,0.17202938817385094
17873,10786.145132743362,1830.151194203009,0.16967611428175972
15759,12557.731958762886,2110.6997620974225,0.16807969536446105
25286,15557.377049180328,2608.245901639344,0.16765331928345625
18001,15375.0,2534.787546525,0.16486423066829267
25269,10833.333333333334,1783.1933333333334,0.16460246153846153
19001,13957.814619442352,2288.0044595999248,0.163922829037497
15516,15225.274725274725,2488.4778079054945,0.16344386901436306
66682,17100.0,2791.8769230733333,0.16326765632007798
76111,13781.25,2238.771634621875,0.16245054945102042
25754,10304.878048780487,1670.0884146341464,0.16206775147928995
5380,16968.67259786477,2723.0134982423488,0.16047298234659765
54405,12723.2,2023.605,0.15904843121227363
54874,5894.7169811320755,929.9433962264151,0.1577587862492798
25430,12327.272727272728,1932.7772727272727,0.1567887168141593
13836,15480.347368421053,2347.5421052626316,0.15164660387734397
76892,10420.0,1572.21515152,0.15088437154702497
52001,13904.128492501974,2091.0909008748854,0.15039352534770806
25214,25116.402116402118,3757.381459391534,0.1495987140983779
5318,22424.242424242424,3238.7272727272725,0.14442972972972973
5088,16350.091677503251,2301.372912587939,0.14075596381850816
5400,20142.85714285714,2743.6607142785715,0.13621010638262412
5376,27916.97247706422,3781.6770256128443,0.13546157373331802
23001,16472.357723577235,2217.144084101984,0.1345978591108751
54001,11635.2175066313,1562.0607553366046,0.1342528194635239
5079,17939.75903614458,2401.409030062651,0.13385960342189387
5308,16630.13698630137,2181.4169606445207,0.1311725190502883
41551,18101.26582278481,2342.025757093671,0.12938463972755246
5212,16678.06603773585,2136.0908376214625,0.1280778498411228
5129,16839.3351800554,2145.1068294175902,0.12738666975156276
5440,24316.129032258064,2981.998235060968,0.12263457851802867
85001,21139.240506329115,2547.014345986076,0.12048750498976048
25799,30000.0,3542.0,0.11806666666666667
5148,24815.217391304348,2818.0785843679346,0.11356251851154182
54261,3200.0,236.55555555555554,0.0739236111111111
